date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:08	37237/37237	---M--	200	added ('OK')	image/png	etag:%22568bd106-9175%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/mac.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/mac.png	(from http://www.gettemplate.com/demo/progressus-pro/landing-startup.html)
21:35:08	2915/2915	---M--	200	added ('OK')	image/png	etag:%22568bd106-b63%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logos/1.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/logos/1.png	(from http://www.gettemplate.com/demo/progressus-pro/features.html)
21:35:08	2828/2828	---M--	200	added ('OK')	image/png	etag:%22568bd106-b0c%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logos/2.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/logos/2.png	(from http://www.gettemplate.com/demo/progressus-pro/features.html)
21:35:09	4157/4157	---M--	200	added ('OK')	image/png	etag:%22568bd106-103d%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logos/3.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/logos/3.png	(from http://www.gettemplate.com/demo/progressus-pro/features.html)
21:35:09	3020/3020	---M--	200	added ('OK')	image/png	etag:%22568bd106-bcc%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logos/4.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/logos/4.png	(from http://www.gettemplate.com/demo/progressus-pro/features.html)
21:35:09	1833/1833	---M--	200	added ('OK')	image/png	etag:%22568bd106-729%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logos/5.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/logos/5.png	(from http://www.gettemplate.com/demo/progressus-pro/features.html)
21:35:10	2598/2598	---M--	200	added ('OK')	image/png	etag:%22568bd106-a26%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/logos/6.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/logos/6.png	(from http://www.gettemplate.com/demo/progressus-pro/features.html)
21:35:18	51291/51291	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-c85b%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/s2.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/s2.jpg	(from http://www.gettemplate.com/demo/progressus-pro/services.html)
21:35:22	139214/139214	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-21fce%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/ap-screenshot.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/ap-screenshot.jpg	(from http://www.gettemplate.com/demo/progressus-pro/landing-startup.html)
21:35:25	93141/93141	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-16bd5%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/s1.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/s1.jpg	(from http://www.gettemplate.com/demo/progressus-pro/services.html)
21:35:25	241669/241669	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-3b005%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/bg_header.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/bg_header.jpg	(from http://www.gettemplate.com/demo/progressus-pro/assets/css/styles.css)
21:35:26	28745/28745	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-7049%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/1.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/1.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:28	109871/109871	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-1ad2f%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/s3.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/s3.jpg	(from http://www.gettemplate.com/demo/progressus-pro/services.html)
21:35:28	9092/9092	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-2384%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/2.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/2.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:29	7753/7753	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-1e49%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/3.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/3.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:31	15880/15880	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-3e08%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/5.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/5.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:32	22175/22175	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-569f%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/4.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/4.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:32	6950/6950	---M--	200	added ('OK')	application/x-javascript	etag:%22568bd106-1b26%22	http://www.gettemplate.com/demo/progressus-pro/assets/js/imagesloaded.pkgd.min.js	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/js/imagesloaded.pkgd.min.js	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:33	37745/37745	---M--	200	added ('OK')	application/x-javascript	etag:%22568bd106-9371%22	http://www.gettemplate.com/demo/progressus-pro/assets/js/isotope.pkgd.min.js	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/js/isotope.pkgd.min.js	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:35	31647/31647	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-7b9f%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/6.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/6.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:39	38470/38470	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-9646%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full1.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full1.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html)
21:35:41	35234/35234	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-89a2%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full2.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full2.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html)
21:35:42	58632/58632	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-e508%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/8.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/8.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:43	82493/82493	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-1423d%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/7.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/7.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio.html)
21:35:43	8256/8256	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-2040%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/people/4.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/people/4.jpg	(from http://www.gettemplate.com/demo/progressus-pro/about.html)
21:35:44	27414/27414	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-6b16%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full3.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/portfolio/full3.jpg	(from http://www.gettemplate.com/demo/progressus-pro/portfolio-item.html)
21:35:46	11540/11540	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-2d14%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/2.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/2.jpg	(from http://www.gettemplate.com/demo/progressus-pro/sidebar-left.html)
21:35:46	17652/17652	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-44f4%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/1.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/1.jpg	(from http://www.gettemplate.com/demo/progressus-pro/sidebar-left.html)
21:35:47	37478/37478	---M--	200	added ('OK')	image/jpeg	etag:%22568bd106-9266%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/mac.jpg	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/mac.jpg	(from http://www.gettemplate.com/demo/progressus-pro/blog.html)
21:35:47	2609/2609	---M--	200	added ('OK')	application/x-javascript	etag:%22568bd106-a31%22	http://www.gettemplate.com/demo/progressus-pro/assets/js/google-map.js	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/js/google-map.js	(from http://www.gettemplate.com/demo/progressus-pro/contact.html)
21:35:49	62438/62438	---M--	200	added ('OK')	image/png	etag:%22568bd106-f3e6%22	http://www.gettemplate.com/demo/progressus-pro/assets/images/map.png	C:/Nathan/Programming/Web/WinHtTrack/Template/www.gettemplate.com/demo/progressus-pro/assets/images/map.png	(from http://www.gettemplate.com/demo/progressus-pro/about.html)
21:35:50	72975/72975	---MC-	200	added ('OK')	text/javascript	date:Wed,%2030%20Aug%202017%2018:35:47%20GMT	https://maps.googleapis.com/maps/api/js?key=&sensor=false&extension=.js	C:/Nathan/Programming/Web/WinHtTrack/Template/maps.googleapis.com/maps/api/js555e	(from http://www.gettemplate.com/demo/progressus-pro/contact.html)
21:35:50	101/101	---M-Z	200	added ('OK')	text/plain	date:Mon,%2012%20Sep%202016%2014:45:00%20GMT	https://maps.googleapis.com/robots.txt		(from http://www.gettemplate.com/demo/progressus-pro/contact.html)
